Birthday Gift Email,Birthday Gift Email
Birthday Gift Configuration,Birthday Gift Configuration
Sender Name,Sender Name
Sender Email,Sender Email
Email Template,Email Template
Coupon Prefix,Coupon Prefix
Coupon Value,Coupon Value
Valid for (days),Valid for (days)
Send to Campaign Monitor,Send to Campaign Monitor
Campaign Monitor Segment ID,Campaign Monitor Segment ID
