Display in Contests listing page ?,Display in Contests listing page ?
List Text,List Text
Text which will be displayed in the Contests listing page. E.g.: "To celebrate Alannah Hill new collection, we have a special price to give away...",Text which will be displayed in the Contests listing page. E.g.: "To celebrate Alannah Hill new collection, we have a special price to give away..."
List Contest Picture,List Contest Picture
Only displayed if you choose Yes in the List tab, recommended image size 250px wide by 200px high. (<a target="_blank" href="%s">example</a> N.B.: the example is not at the right dimensions),Only displayed if you choose Yes in the List tab, recommended image size 250px wide by 200px high. (<a target="_blank" href="%s">example</a> N.B.: the example is not at the right dimensions)
List,List
List Image,List Image
Contests,Contests
Displayed In List,Displayed In List
Store Configuration,Store Configuration
Store View,Store View
This contest is not available with this store,This contest is not available with this store
Click here for full terms and conditions,Click here for full terms and conditions
You must provide a popup text for a contest displayed in a popup,You must provide a popup text for a contest displayed in a popup
Popup Configuration,Popup Configuration
Display a popup for the contest when accessing the website,Display a popup for the contest when accessing the website
There can be only ONE contest PER STORE using the popup at a time.,There can be only ONE contest PER STORE using the popup at a time.
Popup Text,Popup Text
Text that will be displayed in the popup. E.g.: "Win a $500 wardrobe",Text that will be displayed in the popup. E.g.: "Win a $500 wardrobe"
Popup Allowed Referers,Popup Allowed Referers
You can allow a list of domains (delimited by comma). This will be checked each time someone accesses the website and then only popup if the referrer is one of the allowed domain.Left blank not to limit.,You can allow a list of domains (delimited by comma). This will be checked each time someone accesses the website and then only popup if the referrer is one of the allowed domain.Left blank not to limit.
It seems like there are more than one popup contest,It seems like there are more than one popup contest
There was a problem loading the popup contest,There was a problem loading the popup contest
Popup,Popup
URL the thank you page redirects to. Start with forward slash for absolute path. Leave empty for home page.,URL the thank you page redirects to. Start with forward slash for absolute path. Leave empty for home page.
Thank You Redirect Url,Thank You Redirect Url
